nohup: ignoring input
Device   : cuda
H5AD     : /project/cfRNA_NormativeModeling/OpenAccess_nfcore/Merged_Processed_AnnData_with_Batch_Biases_QC_Status.h5ad
Save dir : /project/cfRNA_NormativeModeling/NB_GP/saved_models
HC samples       : 996 / 3159
Protein-coding   : 20097
Candidate genes  : 15185 (det_rate>=0.1, mean_count>=2.0)
[  41/15185] ENSG00000003989.19     det=0.40 mean=    6.3  theta: glm=0.18 bglm=0.18 lap=0.23  |  t: 0.0+1.4+3.9s
[  42/15185] ENSG00000004059.12     det=0.99 mean=  416.5  theta: glm=3.94 bglm=1.85 lap=2.00  |  t: 0.0+2.2+4.5s
[  43/15185] ENSG00000004139.15     det=0.82 mean=   42.2  theta: glm=0.72 bglm=0.70 lap=0.80  |  t: 0.0+2.1+4.7s
[  44/15185] ENSG00000004142.13     det=0.97 mean=  143.3  theta: glm=2.13 bglm=1.18 lap=1.27  |  t: 0.0+2.3+5.1s
[  45/15185] ENSG00000004399.14     det=0.96 mean=  200.3  theta: glm=1.78 bglm=1.17 lap=1.28  |  t: 0.0+2.1+4.7s
[  46/15185] ENSG00000004455.19     det=1.00 mean=  254.0  theta: glm=3.60 bglm=1.70 lap=1.86  |  t: 0.0+2.1+4.7s
[  47/15185] ENSG00000004468.14     det=0.84 mean=   39.0  theta: glm=0.71 bglm=0.70 lap=0.80  |  t: 0.0+2.0+4.5s
[  48/15185] ENSG00000004478.9      det=0.99 mean=  203.3  theta: glm=2.75 bglm=1.18 lap=1.27  |  t: 0.0+2.1+4.7s
[  49/15185] ENSG00000004487.19     det=0.99 mean=  495.7  theta: glm=5.63 bglm=1.90 lap=2.07  |  t: 0.0+2.1+4.7s
[  50/15185] ENSG00000004534.16     det=1.00 mean=  471.2  theta: glm=6.46 bglm=1.80 lap=1.96  |  t: 0.0+2.1+4.6s
[  51/15185] ENSG00000004660.16     det=0.81 mean=   32.7  theta: glm=0.63 bglm=0.62 lap=0.71  |  t: 0.0+2.1+4.4s
[  52/15185] ENSG00000004700.17     det=0.99 mean=  263.9  theta: glm=3.41 bglm=1.50 lap=1.63  |  t: 0.0+2.1+4.5s
[  53/15185] ENSG00000004766.18     det=0.97 mean=  114.5  theta: glm=1.95 bglm=1.49 lap=1.63  |  t: 0.0+2.1+4.6s
[  54/15185] ENSG00000004776.14     det=0.55 mean=    9.8  theta: glm=0.26 bglm=0.26 lap=0.32  |  t: 0.0+1.2+4.0s
