gene,det_rate_hc,hc_mean_count,theta_glm,theta_vi,theta_lap,Z_Mean,Z_Std,valid,fail_reason
ENSG00000000003.17,0.5592369477911646,9.095381736755371,0.1,0.325949102640152,1.0997037887573242,-0.2691569,0.56406397,False,Biased_Mean
ENSG00000000005.6,0.1536144578313253,1.551204800605774,0.1,0.09525268524885178,0.9151849746704102,-0.3624872,0.47685984,False,Low_Count Biased_Mean
ENSG00000000419.15,0.9789156626506024,126.21084594726562,0.1,0.5371646285057068,3.5425703525543213,13.726254,9.899357,False,Biased_Mean High_Std(Underfit)
ENSG00000000457.15,0.9487951807228916,70.11947631835938,0.1,0.7123226523399353,1.8108817338943481,0.81935596,1.317313,False,Biased_Mean
ENSG00000000460.18,0.8684738955823293,66.53413391113281,0.1,0.5845403671264648,1.1717581748962402,0.23536606,1.0177897,False,Biased_Mean
ENSG00000000938.14,1.0,883.6536254882812,0.1,0.2812543213367462,4.054131031036377,-1.26452,0.4612387,False,Biased_Mean
ENSG00000000971.18,0.8283132530120482,38.01506042480469,0.1,0.5825240015983582,0.8858386278152466,0.07245284,0.9133519,True,
ENSG00000001036.15,0.8875502008032129,55.63453674316406,0.1,0.660539984703064,1.1659623384475708,0.2913934,1.02147,False,Biased_Mean
ENSG00000001084.14,0.9849397590361446,249.1726837158203,0.1,0.38881292939186096,3.6147499084472656,2.379965,2.2069063,False,Biased_Mean High_Std(Underfit)
ENSG00000001167.16,0.9849397590361446,193.45883178710938,0.1,0.4354468882083893,3.6884520053863525,-1.1075726,0.5102706,False,Biased_Mean
ENSG00000001460.19,0.7399598393574297,15.537148475646973,0.1,0.6350045204162598,0.8869221210479736,-0.0181971,0.86537236,True,
ENSG00000001461.20,0.9558232931726908,141.89959716796875,0.1,0.48575159907341003,2.6886048316955566,3.3049834,2.8801305,False,Biased_Mean High_Std(Underfit)
ENSG00000001497.19,0.9889558232931727,242.7971954345703,0.1,0.3920837342739105,3.8075408935546875,-1.4987571,0.37051916,False,Biased_Mean Low_Std(Overfit)
ENSG00000001561.8,0.7580321285140562,22.37148666381836,0.1,0.6446524858474731,0.9243532419204712,0.023860095,0.86736834,True,
ENSG00000001617.13,0.5180722891566265,14.951807022094727,0.1,0.3269804120063782,1.1082587242126465,-0.28251246,0.5447576,False,Biased_Mean
ENSG00000001626.19,0.15461847389558234,1.2901606559753418,0.1,0.1320643573999405,0.8733521699905396,-0.32571328,0.48947453,False,Low_Count Biased_Mean
ENSG00000001629.11,0.9869477911646586,308.4297180175781,0.1,0.3573364019393921,3.932774066925049,17.650373,13.0634985,False,Biased_Mean High_Std(Underfit)
ENSG00000001630.19,0.7700803212851406,25.405622482299805,0.1,0.5908905267715454,0.8771094083786011,0.025777161,0.8642279,True,
ENSG00000001631.18,0.9889558232931727,339.6526184082031,0.1,0.352129191160202,3.9727096557617188,59.45532,45.83331,False,Biased_Mean High_Std(Underfit)
ENSG00000002016.19,0.7580321285140562,35.78915786743164,0.1,0.5471932888031006,0.9828453063964844,-0.03477478,0.8389725,True,
ENSG00000002330.15,0.9668674698795181,116.98795318603516,0.1,0.5547492504119873,3.1753311157226562,5.505331,4.275971,False,Biased_Mean High_Std(Underfit)
ENSG00000002549.14,0.9949799196787149,304.58734130859375,0.1,0.36342841386795044,3.8727188110351562,217.1751,196.03987,False,Biased_Mean High_Std(Underfit)
ENSG00000002586.21,0.9839357429718876,1168.919677734375,0.1,0.27853381633758545,2.4400830268859863,2.342691,2.1945713,False,Biased_Mean High_Std(Underfit)
ENSG00000002587.11,0.4608433734939759,8.637550354003906,0.1,0.30061113834381104,1.0537973642349243,-0.29759437,0.56567186,False,Biased_Mean
ENSG00000002726.22,0.1646586345381526,2.97389554977417,0.1,0.07221279293298721,0.9313433170318604,-0.42020127,0.42072,False,Biased_Mean
ENSG00000002745.13,0.34839357429718876,4.4357428550720215,0.1,0.23989374935626984,0.9691370725631714,-0.32655355,0.5102131,False,Biased_Mean
ENSG00000002746.16,0.23293172690763053,1.7861446142196655,0.1,0.19993312656879425,0.8529449701309204,-0.30109155,0.5401301,False,Low_Count Biased_Mean
ENSG00000002822.17,0.9859437751004017,207.15663146972656,0.1,0.4075646996498108,3.574404001235962,36.864506,31.310856,False,Biased_Mean High_Std(Underfit)
ENSG00000002834.20,0.998995983935743,1607.5321044921875,0.1,0.266401082277298,4.128737449645996,300.47855,251.2318,False,Biased_Mean High_Std(Underfit)
ENSG00000002919.16,0.9367469879518072,86.580322265625,0.1,0.607253909111023,2.068635940551758,1.5661439,1.833967,False,Biased_Mean High_Std(Underfit)
ENSG00000002933.10,0.678714859437751,27.574296951293945,0.1,0.38393810391426086,0.8580982685089111,-0.05259195,0.85374475,True,
ENSG00000003056.9,0.9849397590361446,237.91867065429688,0.1,0.3986445665359497,3.848597288131714,21.321571,15.065446,False,Biased_Mean High_Std(Underfit)
ENSG00000003096.16,0.5763052208835341,10.11646556854248,0.1,0.37006014585494995,1.0224850177764893,-0.22116727,0.63488156,False,Biased_Mean
ENSG00000003137.9,0.45582329317269077,8.377510070800781,0.1,0.23953503370285034,1.2143174409866333,-0.36250398,0.45885903,False,Biased_Mean
ENSG00000003147.20,0.9799196787148594,153.38754272460938,0.1,0.48089683055877686,3.0456857681274414,0.9618272,1.3764042,False,Biased_Mean
ENSG00000003249.16,0.641566265060241,19.616466522216797,0.1,0.36722666025161743,0.9733462929725647,-0.16542813,0.69631,True,
ENSG00000003393.17,0.9568273092369478,108.17570495605469,0.1,0.5471945405006409,2.3439273834228516,1.6387458,1.7929987,False,Biased_Mean High_Std(Underfit)
ENSG00000003400.17,0.9789156626506024,145.94578552246094,0.1,0.48518088459968567,3.5406274795532227,-0.7165505,0.57785654,False,Biased_Mean
ENSG00000003402.22,1.0,1358.1566162109375,0.1,0.2663901150226593,4.083506107330322,74.17352,59.072197,False,Biased_Mean High_Std(Underfit)
ENSG00000003436.17,0.9949799196787149,928.4237060546875,0.1,0.2906952500343323,3.9849374294281006,1.1604488,1.1754398,False,Biased_Mean
ENSG00000003509.17,0.8373493975903614,29.947792053222656,0.1,0.6994011402130127,0.9279083013534546,0.09926341,0.91600335,True,
ENSG00000003756.18,0.9959839357429718,703.5521850585938,0.1,0.29393839836120605,4.086655139923096,53.045208,37.500763,False,Biased_Mean High_Std(Underfit)
ENSG00000003987.15,0.1646586345381526,2.105421781539917,0.1,0.10393615812063217,0.8788633942604065,-0.3389519,0.49074647,False,Biased_Mean
ENSG00000003989.19,0.4046184738955823,6.330321311950684,0.1,0.2059651017189026,1.1568171977996826,-0.3705338,0.46478197,False,Biased_Mean
ENSG00000004059.12,0.9869477911646586,416.5050048828125,0.1,0.3279167711734772,3.8782482147216797,2.457394,2.146056,False,Biased_Mean High_Std(Underfit)
ENSG00000004139.15,0.8232931726907631,42.158634185791016,0.1,0.6186821460723877,0.9601797461509705,0.0880336,0.8912485,True,
ENSG00000004142.13,0.9748995983935743,143.34437561035156,0.1,0.4977496266365051,3.194620132446289,-0.2509947,0.7590588,False,Biased_Mean
ENSG00000004399.14,0.9588353413654619,200.34437561035156,0.1,0.40317586064338684,2.79232120513916,26.070807,23.202763,False,Biased_Mean High_Std(Underfit)
ENSG00000004455.19,0.9959839357429718,254.0240936279297,0.1,0.3827753961086273,3.9107472896575928,77.01948,62.93089,False,Biased_Mean High_Std(Underfit)
ENSG00000004468.14,0.8353413654618473,39.030120849609375,0.1,0.6411914229393005,0.9231176972389221,0.18637392,0.98964703,True,
