,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR14506671,0.31143185,-0.2931062,-0.5801227,-0.27617562,1.1492839,-0.35040888,0.09990637,0.31144652,0.10422949,0.017006338,0.27473962,-0.20492087,-0.36431843,-0.5511196,-0.53172714,-0.31564683,-0.12399857,1.736861,0.10372118,-0.39319763,0.11979183,-0.14556286,1.9795837,-0.431348,0.14838114,-0.46751037,-0.4113584,-0.08052379,0.38449016,-0.17532256,-0.28630784,-0.2793486,-0.48188114,-0.46117443,-0.17598438,-0.5863499,-0.20173565,-0.4365617,0.17780723,0.5619394,-0.043107487,-0.20178711,-0.2645082,-0.4241922,-0.11258019,-0.20354144,-0.4677506,-0.26218975,-0.139153,-0.14494014
SRR14506672,0.33406904,-0.28771245,-0.38936222,0.015758261,-0.26315728,-0.3598167,-0.20171614,-0.7385181,1.1319077,-0.30596036,0.7369757,-0.38557518,-0.19327264,-0.4043937,-0.49657473,-0.30630735,-0.06607457,0.17144395,-0.1970198,-0.7167598,-0.30838794,-0.40879816,-0.26639017,-0.52180445,-0.2495479,-0.4723126,1.6469263,-0.3763109,-0.331723,-0.0083188545,-0.6074273,-0.43127036,-0.57206255,-0.43714485,-0.2653556,0.70217395,-0.35772926,-0.43095103,-0.31189165,-0.26092172,0.10666267,-0.30915663,-0.27315032,-0.4220526,-0.40244105,-0.5760766,-0.5533873,-0.34516814,-0.33216533,-0.11146514
SRR14506673,-0.044174347,-0.2917907,-0.29026523,-0.24313925,0.48662382,-0.08249753,-0.72994655,-0.27944493,-0.08871458,0.22634378,0.53661734,0.2132423,-0.10471062,0.15428665,-0.50778675,-0.32799834,0.13607824,0.066201754,0.3280078,-0.71759045,-0.08250728,-0.09611886,2.1393983,-0.5167476,-0.2598921,0.39832392,-0.3845653,-0.23744518,0.39899012,-0.4890531,1.3186717,0.0026577655,-0.06891483,-0.45037663,0.085676365,0.08303103,-0.19890544,0.011485604,0.39802483,2.3264656,-0.47174445,0.18747243,-0.2677202,-0.4093322,-0.058601946,-0.45337597,-0.3685147,-0.38215455,-0.074023075,-0.21017969
SRR14506674,-0.5502364,-0.26247132,-0.3250279,-0.6249397,-0.41441035,-0.29468077,0.50747216,-0.4542031,0.11500806,-0.30193946,-0.7762112,-0.36425042,-0.09030533,0.6887703,-0.48378012,-0.25712052,-0.15024133,1.5952839,-0.18081594,0.67862433,-0.24582414,-0.13025017,0.08563184,-0.49277103,-0.25927368,-0.46874303,-0.24980152,-0.5825041,-0.13292621,-0.65965843,-0.050776254,-0.29589108,0.7885868,-0.40347072,-0.2936239,-0.58690536,-0.06923349,-0.6167586,-0.15410383,0.35116342,-0.12324837,-0.20817517,-0.25701287,-0.42950526,-0.4057133,0.14763701,-0.38597602,0.22024408,-0.2480548,-0.79061455
SRR14506675,0.38188192,-0.28720936,-0.19682835,-0.257091,1.092749,0.67207456,0.41847292,-0.044311117,1.0486982,0.5330562,0.5241282,1.5835445,-0.4824123,0.69651085,-0.4038418,0.548214,1.6266468,-0.29889086,1.8216561,-0.63760483,0.53591305,0.39415166,12.963449,-0.008973746,0.53309083,-0.46094933,-0.40968317,-0.26348668,3.84607,0.16594091,-0.47100118,1.1959877,0.27189928,-0.4736904,1.1749089,-0.31697676,0.039861497,0.002065273,2.9268048,12.747304,-0.43073016,1.0245817,0.48150232,-0.42103153,1.9576225,-0.7235652,-0.085235275,-0.20734777,0.5493496,-0.21854208
SRR14506676,0.39491227,-0.2928269,-0.56775624,-0.41205648,-0.042750392,-0.29139376,-0.09106195,-0.28349975,-0.37564394,-0.3052083,-0.602166,0.951114,-0.48649704,0.09821737,-0.21748489,-0.31115642,-0.10338403,-0.12165753,-0.12789889,-0.6714741,-0.019850643,-0.3945938,2.9588463,-0.5280979,-0.2566991,-0.46172643,-0.39909637,-0.4678795,0.5816348,-0.2761067,-0.401913,-0.09748029,-0.113677524,-0.013584895,-0.1410551,-0.4634432,-0.09237304,-0.34617817,0.05160912,0.93402684,-0.58627474,-0.25225812,-0.25630122,-0.40563083,0.20394349,-0.4978742,-0.08301255,-0.40108624,-0.3042676,-0.1697519
SRR14506677,-0.55298126,-0.28864953,-0.41181755,-0.18050309,-0.053623553,-0.21508707,-0.03461125,-0.4770736,-0.4623645,-0.3152218,0.09181406,-0.39407855,-0.18633275,-0.26450753,3.6951091,-0.31262317,-0.11563208,-0.75077814,-0.11783285,-0.7144107,-0.056457005,-0.17487906,0.41030967,-0.30474806,1.7241582,-0.46678618,-0.4052368,-0.4745693,-0.15955201,-0.2538221,-0.34603757,-0.3164088,-0.36951277,-0.429226,-0.08454027,-0.5834584,-0.21513864,-0.110981315,-0.20339139,0.07592929,-0.4676827,-0.26947948,-0.26254025,-0.4290769,-0.31455532,0.20356539,-0.39619574,-0.11460687,-0.30794278,-0.27171692
SRR14506678,-0.5612746,-0.29570413,-0.25143203,0.5999982,0.10477431,-0.19318546,1.6119235,0.1619854,0.0142099,-0.08363042,-0.7821728,-0.13097803,0.17950521,0.99811566,3.7133467,-0.30111337,-0.1757459,-0.06735582,-0.23186202,-0.72679526,-0.052154634,-0.025666898,-0.111785986,-0.52874386,-0.25629225,-0.47950038,-0.42227787,-0.37998933,-0.15692325,0.033684272,-0.6130337,-0.06740711,-0.6048523,-0.44787535,-0.3243776,-0.59789765,-0.6845263,0.94659555,-0.24546337,-0.09498864,-0.82928944,-0.2569595,-0.2704812,-0.4461896,-0.38556224,0.17428462,-0.046807565,-0.11956568,0.0059901457,0.38981095
SRR14506679,-0.5568907,-0.28544134,-0.52057433,-0.010115419,0.6029199,-0.24252662,0.90085685,-0.027803814,-0.15656215,-0.30063686,0.3391486,-0.38819474,-0.23264524,0.11107094,-0.22581331,-0.3113315,-0.135915,-0.42031935,-0.1203647,-0.7150766,-0.123580374,-0.26331884,-0.09335352,-0.5125121,-0.25963098,-0.47863466,-0.34455997,-0.27728686,-0.031744022,-0.0076489025,-0.6081348,-0.35649464,0.48203382,0.5970779,-0.1394594,-0.43871918,0.32895008,-0.38404998,-0.19958049,0.2913095,-0.68684536,-0.2928015,-0.27271104,0.19618507,-0.2695414,-0.51330745,-0.40075707,-0.0071542077,-0.27793986,-0.240065
SRR14506680,-0.2779452,-0.28740254,-0.23624755,-0.31042552,0.27159774,0.27361134,-0.743001,0.0536694,0.43885773,0.7372243,-0.0031327684,1.1100569,-0.095637046,1.869812,-0.5493375,-0.31188032,2.0705397,-0.4412908,2.2687747,-0.6446797,0.63558894,0.5094498,14.11236,-0.52444243,-0.26229167,0.46089554,0.31683576,0.038389426,3.7981327,-0.24405468,-0.37093937,1.360239,0.019417286,-0.47315675,0.7864107,-0.5162339,0.15890773,0.07681201,2.7023714,18.407305,-0.14030355,1.333652,-0.28567144,-0.42360038,1.3594551,-0.17035232,-0.0283411,0.20237035,-0.07938415,-0.25022602
