,ENSG00000000003.17,ENSG00000000005.6,ENSG00000000419.15,ENSG00000000457.15,ENSG00000000460.18,ENSG00000000938.14,ENSG00000000971.18,ENSG00000001036.15,ENSG00000001084.14,ENSG00000001167.16,ENSG00000001460.19,ENSG00000001461.20,ENSG00000001497.19,ENSG00000001561.8,ENSG00000001617.13,ENSG00000001626.19,ENSG00000001629.11,ENSG00000001630.19,ENSG00000001631.18,ENSG00000002016.19,ENSG00000002330.15,ENSG00000002549.14,ENSG00000002586.21,ENSG00000002587.11,ENSG00000002726.22,ENSG00000002745.13,ENSG00000002746.16,ENSG00000002822.17,ENSG00000002834.20,ENSG00000002919.16,ENSG00000002933.10,ENSG00000003056.9,ENSG00000003096.16,ENSG00000003137.9,ENSG00000003147.20,ENSG00000003249.16,ENSG00000003393.17,ENSG00000003400.17,ENSG00000003402.22,ENSG00000003436.17,ENSG00000003509.17,ENSG00000003756.18,ENSG00000003987.15,ENSG00000003989.19,ENSG00000004059.12,ENSG00000004139.15,ENSG00000004142.13,ENSG00000004399.14,ENSG00000004455.19,ENSG00000004468.14
SRR28476059,-0.15191412,-0.2973182,-0.06146295,-0.26361907,-0.2242953,-0.19722714,-0.112610556,-0.1521449,0.8748649,-0.12831607,-0.31461877,-0.13517784,-0.08286613,-0.24986714,-0.07766152,-0.30472738,-0.09283713,-0.31480503,-0.081871025,-0.03899467,0.03237082,0.39422137,0.027772108,-0.23728797,0.37315252,-0.17683569,-0.3081171,-0.19607204,-0.03394091,-0.24968919,-0.19237863,-0.1601812,-0.26175174,-0.31410936,-0.06808932,-0.3149427,-0.10888082,-0.18474163,-0.004198211,-0.14910373,-0.1668653,-0.046424318,-0.30475524,-0.030963106,-0.055193428,-0.2804342,0.023457715,-0.25807306,-0.024468329,-0.13487625
SRR28476060,-0.10339963,-0.30031115,-0.2092641,-0.088614106,-0.29676402,-0.010766104,-0.17286004,-0.1264255,-0.06609793,0.034380857,-0.29184026,-0.22346278,-0.07869916,-0.20604056,-0.15883821,-0.30475268,-0.08615411,0.26160815,-0.014651374,-0.31559116,0.04404746,0.8970841,0.33917683,-0.31354424,-0.30878714,-0.31104383,-0.3071545,0.044757184,0.02325167,-0.08997758,-0.07924802,-0.10842576,-0.2484162,-0.31434548,0.058533177,-0.3152703,-0.14039434,0.053672496,0.074244246,-0.17221679,-0.27386957,0.0011316331,-0.08497282,-0.31278464,-0.08409875,-0.12303519,0.042710103,-0.18736994,0.17315413,-0.17335722
SRR28476061,-0.31396252,-0.29542693,-0.055528842,-0.30460212,-0.31555486,0.003393236,-0.014880608,-0.29482004,-0.09951947,-0.070118524,-0.31483346,-0.2539306,-0.287474,-0.31467208,-0.3146285,-0.30953217,0.112656,-0.31505513,-0.14838155,-0.23429869,-0.1522321,0.6015766,0.59424525,-0.31338593,-0.31085426,-0.30905193,-0.31148142,0.4717413,0.059671465,-0.27084598,-0.16470689,-0.13773844,-0.31309256,-0.22727899,-0.097592816,-0.31497434,-0.002382624,0.025437465,0.29226324,-0.08438122,-0.31530136,0.13155949,-0.30900234,-0.31337568,-0.10173351,-0.25748625,-0.25694302,-0.19268279,0.29247218,-0.15880902
SRR28476062,-0.18140183,-0.30132526,0.0018043404,-0.14070983,-0.16171552,0.033809595,-0.27392122,-0.3075892,0.11784366,-0.06882906,-0.20454857,-0.08355989,-0.21052277,-0.31486514,-0.31453663,-0.12340226,-0.063759476,-0.24960846,-0.20867081,-0.31553426,-0.21766052,0.37202445,0.07890371,-0.31318432,-0.30877572,-0.31098214,-0.16425544,0.15109904,0.053366013,-0.09114605,-0.17370701,-0.20653455,-0.31426528,-0.27674308,-0.027032577,-0.31518388,-0.15427805,0.12051007,0.32973534,-0.20481078,-0.3153141,0.12551448,-0.30506444,-0.31255132,-0.12478497,-0.3154657,-0.027983889,-0.07015648,0.12732373,-0.12577814
SRR28476064,-0.31409472,-0.047501493,-0.26173335,-0.12221102,-0.21366829,-0.11532067,-0.23988934,-0.26145822,-0.09168103,-0.04336395,-0.1405801,-0.21968512,-0.18852232,-0.24919699,-0.24121957,-0.30337238,-0.05366324,-0.10799383,-0.082474425,-0.31544575,-0.13301393,0.40885645,0.2648117,-0.31337902,-0.3056852,-0.31088015,-0.30784205,-0.020295298,-0.017955624,-0.1532937,-0.12519081,-0.19318146,-0.24759981,-0.27956545,-0.095949665,-0.291483,-0.12662847,0.1499665,0.13001183,-0.19944108,-0.23229122,0.0052048424,-0.30674037,-0.076745786,-0.14662632,-0.25263414,-0.10609551,-0.16622765,0.008037939,-0.22003789
SRR28476065,-0.31421146,-0.30176333,-0.1687681,-0.043197956,-0.1424079,-0.012419872,-0.034859363,-0.18239856,-0.01760019,-0.07870857,-0.21163677,-0.12705302,-0.076153785,-0.22344542,-0.19453192,-0.30222878,0.060042992,0.0053280457,-0.08519255,-0.06584759,0.21499336,0.18463592,0.48744202,-0.31380597,-0.30838767,-0.31198585,0.83962876,0.08000512,0.0304879,-0.15149641,0.0011936539,-0.13603364,-0.052294068,-0.22880863,-0.0934238,-0.25316626,-0.025188372,-0.021330053,0.027335228,-0.20383678,-0.16244996,0.06898851,-0.30499324,-0.23305574,-0.094418176,-0.22798736,-0.06588644,-0.23413715,0.20115963,-0.18556878
SRR28476066,-0.15589836,-0.30488312,-0.09174951,-0.02711988,-0.22183019,-0.13729982,-0.20586365,-0.3009464,-0.012598798,0.04880945,-0.16521096,-0.14659272,-0.025143757,-0.25857857,-0.14663917,-0.30883992,-0.030134395,-0.20850086,0.036500726,-0.20006463,-0.035992473,-0.028278792,0.15600444,-0.31455445,-0.3100095,-0.08538624,-0.31056014,-0.08317593,0.011275862,-0.21530294,-0.2513642,-0.1430636,-0.2725867,-0.04873522,-0.09820804,-0.06860998,-0.018045546,-0.023774827,0.15540265,-0.020940503,-0.05577909,0.031583086,-0.30930895,-0.11445028,-0.14291312,-0.18047455,-0.113439694,-0.22694555,0.06116046,-0.16432564
SRR28476067,-0.22351024,-0.044668935,-0.09726827,-0.1464147,-0.2290125,-0.10684485,-0.22895534,-0.23759453,-0.1586183,-0.124599494,-0.2618561,-0.12317005,0.09759203,-0.20132953,-0.2291821,-0.30677798,0.048360042,-0.14846748,0.005542183,-0.29073688,-0.15498078,0.16777337,0.20973782,-0.31422204,-0.30861443,-0.31250918,-0.30973718,-0.16641812,0.034900744,-0.1914998,-0.009485555,-0.20943311,-0.13080181,-0.19205427,-0.11757156,-0.17438844,-0.071293525,0.0127656115,0.15704925,-0.10588896,-0.19135244,0.011080451,-0.30904797,-0.31335917,-0.2003119,-0.20165445,-0.16172522,-0.21605241,0.11464835,-0.1438532
SRR28476068,-0.31463757,-0.3069462,-0.21054105,-0.004598436,-0.21153677,-0.09743085,-0.31572723,-0.30653358,-0.021210717,-0.021751085,-0.2931152,-0.21959098,-0.12625813,-0.27323392,-0.17181605,-0.30914712,-0.07863131,-0.31518912,-0.10422294,-0.30005264,-0.2555508,-0.031680822,0.024233617,-0.31445268,-0.3098719,-0.16936453,-0.21260354,-0.09356943,-0.11132468,-0.14158407,-0.29954913,-0.065774016,0.109719865,-0.2892749,-0.067043416,-0.24078168,-0.16225976,-0.15598208,0.19519,0.05822927,0.11443968,0.08655971,-0.3103912,0.08790591,-0.2332637,-0.27463704,-0.085487455,-0.22552896,-0.023955658,-0.21648404
SRR28476069,-0.13884959,0.20400089,-0.07724273,-0.112208985,-0.19917867,-0.015713591,-0.20882031,-0.2157359,0.009066221,0.08813241,-0.2616135,-0.08512849,-0.05481285,-0.23376118,-0.2742631,-0.1685493,-0.049957536,-0.073431306,-0.09258034,0.005926571,-0.1315157,-0.06577583,-0.013690774,-0.21448387,-0.3115186,-0.16386206,-0.31061757,-0.06525775,0.00011745031,-0.12679219,-0.23940478,-0.047057502,-0.04424267,-0.28845018,-0.14879292,-0.05974976,-0.06717099,0.076703764,-0.01089171,0.041332282,-0.13575323,0.034574017,-0.3094435,-0.3137015,-0.101107016,-0.124652445,-0.03465616,-0.10073405,0.06561026,-0.25979683
