,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506857,-0.79754186,1.4770839,1.4464383,0.97490567,0.72454095,-0.32142246,0.40485594,0.54491806,0.66923916,0.768969,0.7108708,0.3887993,1.0579252,0.7655078,-0.09440479,0.1815256,0.7675976,-0.57027227,-0.4404953,0.2507451,0.0050462983,1.8801022,0.70751256,0.15379123,-0.6607194,0.20632918,0.21539135,-0.5165493,-2.0066931,-2.015872,1.05373,1.0082352,-0.43490696,0.5425434,0.5815687,-0.6686842,-0.7310725,-0.42533055,-0.39022586,-0.10451503,-0.08692723,-0.9098812,-0.29311192,-0.18528356,0.1952835,0.12885115,-0.73507166,0.76016515,-0.6738325,-0.24851036,-0.4123064,-0.5733369
SRR14506861,0.2282242,-0.6668637,0.5506366,-0.6346133,-1.1314301,0.9931296,0.71620923,0.6615752,0.54625165,0.8319453,-1.0993832,-0.6386857,-1.0752581,-1.017097,-0.6436447,-0.66572565,0.70767087,-0.59071314,0.6763343,-1.0842181,0.32180053,0.24373211,0.2541017,0.94197017,0.32911906,0.6393932,1.2244499,0.38852558,0.054320544,-0.10354219,0.63045675,0.31313422,0.8401371,0.7398359,0.68627685,0.13596396,0.47319385,0.31525373,0.33822635,0.1853813,-0.3602191,0.20613272,0.28731185,0.1804243,0.19689998,0.13052328,0.041465353,0.5543331,0.15801312,-0.11869625,0.10265836,0.33007464
SRR14506862,0.75005305,1.2608695,0.5458676,0.28074926,-0.5314034,0.8874184,0.0017589205,0.47673973,0.44398874,0.61431164,-0.3449478,0.30566317,1.1058782,-0.33632043,0.28976956,0.28963175,0.7886807,0.31015265,0.5775379,0.16082563,0.31978762,0.49250445,-0.09352157,0.25239387,0.6923483,-0.3766714,-0.1318531,0.41655016,0.3687657,0.24708101,0.22597384,0.108847015,0.48408625,0.6039625,0.5816074,0.509135,0.36146477,0.25920227,-0.4316095,0.02776867,0.34673816,0.22113796,-0.4277023,-0.102823526,-1.0012314,0.14684525,-0.014552939,0.19374228,0.1724725,0.32817435,0.04245541,1.1112963
SRR14506863,0.783286,0.39655152,0.2536297,0.42681924,0.7071619,0.40571013,0.51483315,0.41400713,0.58196527,0.96865267,0.018080344,0.35499,1.5209037,1.7102731,0.28440645,0.48423392,0.11593075,0.44447422,0.7492006,0.89146847,0.42019543,0.3420849,0.19234185,-0.043932848,0.39972657,0.52422804,0.20579018,0.5577467,0.6983516,0.7552845,1.082425,0.42989638,0.5461224,0.27658293,0.19715388,0.44859815,0.47617257,0.82204294,-0.09355066,0.47844797,-0.28892228,0.76463264,1.005932,0.27352497,0.68492067,0.35980326,0.38577342,0.47341684,0.83223337,0.57123095,0.7830161,1.0966525
SRR14506864,1.0509473,0.5088318,0.21328056,0.557064,1.2308255,0.68653125,0.7327414,-0.025727527,0.49882713,0.70602053,-0.32101896,0.68398935,-0.19547817,-0.25778675,0.34844592,0.4781687,0.7146552,0.61281407,0.006612166,0.23387806,0.9490225,1.0198601,0.3013317,0.9270753,0.87851894,0.028816001,-0.7025119,0.3055869,0.14856696,0.0808482,0.4023527,0.7681668,0.07591605,0.6125338,0.9301567,0.47784966,0.2851879,0.1529705,-0.25846133,0.16777083,1.0381202,0.1470557,0.22147687,0.3316836,0.2723594,0.65066206,0.075365424,-0.02240635,-0.30072406,-0.4456919,0.035973065,-0.54253346
SRR14506865,0.8538921,-1.2832893,0.6106052,-1.2916495,0.48433357,0.35340166,0.68283135,0.6134372,0.7578995,1.1193372,0.7938223,-1.2569512,1.3369404,1.5855576,-1.3662945,-1.2566155,0.7833954,0.53876644,1.0209949,0.76596016,0.35215402,0.98112816,0.8856014,0.6871268,0.9643938,0.7986945,0.19680656,0.2708918,0.055246085,-1.4068658,0.6934438,-0.27250957,-0.17491208,0.29798338,0.14597346,0.7402199,0.0440559,0.4532159,0.6652856,0.7988156,-0.13510484,0.12868978,0.24801515,0.11973677,0.19830877,0.1703728,0.12524939,0.5358021,0.5246597,0.4066058,0.38664183,0.07007469
SRR14506866,1.0650396,0.97278535,1.3688493,1.2040603,0.81824136,0.4577232,0.8949947,0.9344337,0.8179637,0.45838186,0.89477545,1.0316169,0.76211554,0.65212226,1.0289578,1.061008,0.5749325,0.92419565,0.9589897,0.2675639,0.44367287,1.1329123,1.3845835,0.08397133,0.07228235,-0.1792323,0.7726223,-0.51129806,0.24919058,0.09774388,1.1384612,0.52515864,0.041449636,-0.4540353,-0.08885789,-0.6407141,0.7020146,-0.8402967,-0.43625504,-1.2589067,0.9435349,0.097009145,0.033417027,0.94140565,0.15720977,-0.9660474,-0.7391516,0.121177234,0.8120785,-1.1623751,0.17362839,0.24066325
SRR14506867,-1.1447933,-0.7898783,0.509495,-0.80093324,0.77203417,0.07308411,-1.3020208,-0.09351355,0.59657294,1.2451445,-1.1216867,-0.80676836,1.3886434,1.0214213,-0.9655693,-0.7708514,0.27310988,0.20890057,1.0338181,-1.280486,0.57550746,0.5425366,0.5330954,0.11075376,0.5016566,-0.2501934,1.2193431,0.104430355,0.057543583,0.44685572,0.3734368,1.1085546,-1.1473699,0.36955982,0.16981429,0.5315288,0.38410082,0.1474583,0.32428062,0.38944057,0.5100425,0.41601974,-0.80813825,0.2381961,0.07530504,0.6408664,0.1501029,-0.34374005,0.021113439,0.037457015,0.123171255,0.014510684
SRR14506868,1.1617267,1.2103382,0.23611923,-1.8265909,0.13514295,0.55143064,1.0951729,1.6492022,-1.879363,0.9146353,1.1537694,-1.8322372,-2.090289,1.1603029,-2.0129886,-1.8094118,0.7075753,-0.13202697,0.45418686,0.4974566,0.38060713,0.973879,0.7758471,0.80317444,-0.3078535,0.95996666,-0.8072707,0.1861516,0.028591195,0.5712984,0.5297519,0.007765053,0.7283995,0.033562582,0.31013802,0.35977232,-0.062027585,0.60907376,-0.2775885,-0.10697131,-0.39142185,0.16855963,0.2658687,0.004925277,-0.5535603,0.3533794,-0.5295799,-0.48129755,-0.10221645,0.2822192,-0.30960968,-0.55445373
SRR14506869,-0.7442411,-0.058911104,-1.1164743,-0.05538629,-1.0579747,-1.2566129,1.0848805,0.71311444,0.44932386,0.67330915,-0.9639574,0.12502174,0.24420333,0.7303208,-0.9018749,-0.5434629,-1.1981269,0.31524268,-1.0140787,-0.97405815,1.1723543,0.30839968,0.96601343,0.9948522,0.7120574,-0.7320759,-1.289352,0.2974441,-0.3408342,0.16051139,0.078163765,0.047786057,0.4297539,0.966486,0.69913685,0.08779158,-0.39670277,0.53263193,1.4873496,0.3465442,-0.8214765,-1.1918972,-0.5170553,-0.6438327,0.274978,-0.24447204,-0.2166928,0.2505372,-0.07892579,-0.3161812,-0.82123524,-0.032807995
