gene,det_rate_hc,hc_mean_count,time_glm_s,theta_glm,time_bglm_s,theta_bglm,time_lap_s,theta_lap
ENSG00000158292.8,0.5311244979919679,11.221887588500977,0.0187358139992284,0.2996418865781831,5.346731464000186,0.2996305227279663,9.067824222998752,0.344923734664917
ENSG00000100276.11,0.253012048192771,3.5742971897125244,0.0137170720008725,0.1032103850940791,16.56317426500027,0.1073142811655998,7.032561787000304,0.1543665379285812
ENSG00000179761.13,0.6365461847389559,12.631525993347168,0.0061809069993614,0.3634066779963966,2.5886384039986297,0.3678682446479797,8.51466341700143,0.4312259256839752
ENSG00000196826.7,0.2128514056224899,2.904618501663208,0.0098668120008369,0.0866866900253269,16.163812997001514,0.10836061835289,6.839684158003365,0.1134489327669143
ENSG00000250021.7,0.6204819277108434,52.16365432739258,0.0074679149984149,0.314696542449323,2.9038930790011364,0.3128047585487366,8.610217494999233,0.4401558935642242
ENSG00000127325.20,0.6345381526104418,18.37650680541992,0.0055579519976163,0.3751769602678336,3.160490923000907,0.3760991990566253,8.645609908999177,0.4363184571266174
ENSG00000105976.17,0.6375502008032129,23.94477844238281,0.0069727189984405,0.3596213581918207,6.781228613999701,0.3581947684288025,8.492968053000368,0.5559346675872803
ENSG00000187079.20,0.5813253012048193,18.23594284057617,0.0074066929992113,0.3160835594908127,6.833458475997759,0.314647912979126,8.425278958999115,0.5073467493057251
ENSG00000213088.15,0.6134538152610441,77.32831573486328,0.0072709769992798,0.3317866879265027,1.4155949639971368,0.3372020125389099,8.552076019001106,1.124041199684143
ENSG00000203811.2,0.5632530120481928,131.20481872558594,0.0086090190015966,0.1671711235029387,8.470266313997854,0.1672710180282592,8.650136781998299,0.1744604408740997
ENSG00000269955.2,0.5491967871485943,159.7720947265625,0.0086294790016836,0.1664225840286959,16.0834905720003,0.1758747696876526,8.797944488000212,0.2044719904661178
ENSG00000136488.15,0.2389558232931727,173.01205444335938,0.0119229880001512,0.1165284432550162,5.786915898999723,0.1159576326608657,8.643757177000225,0.1995895802974701
ENSG00000259753.1,0.4337349397590361,428.8072204589844,0.0091782130002684,0.0930222831331977,16.105814755999745,0.1270782053470611,8.618021821999719,0.1275617480278015
