,ENSG00000158292.8,ENSG00000100276.11,ENSG00000179761.13,ENSG00000196826.7,ENSG00000250021.7,ENSG00000127325.20,ENSG00000105976.17,ENSG00000187079.20,ENSG00000213088.15,ENSG00000203811.2,ENSG00000269955.2,ENSG00000136488.15,ENSG00000259753.1,ENSG00000129824.16,ENSG00000203852.4,ENSG00000288643.1,ENSG00000154153.15,ENSG00000165948.12,ENSG00000156239.13,ENSG00000188130.15,ENSG00000188811.14,ENSG00000197483.11,ENSG00000185829.19,ENSG00000072694.23,ENSG00000187116.15,ENSG00000133687.17,ENSG00000180537.14,ENSG00000071553.19,ENSG00000288859.2,ENSG00000270276.3,ENSG00000197238.5,ENSG00000278637.3,ENSG00000049759.21,ENSG00000151876.14,ENSG00000171067.12,ENSG00000100865.15,ENSG00000130958.14,ENSG00000124767.8,ENSG00000221978.14,ENSG00000118197.15,ENSG00000182093.16,ENSG00000138798.14,ENSG00000104067.18,ENSG00000139132.16,ENSG00000143149.14,ENSG00000117859.20,ENSG00000108587.17,ENSG00000157538.15,ENSG00000177885.16,ENSG00000073584.21,ENSG00000163681.18,ENSG00000153071.16
SRR14506857,-0.7092703,1.6009634,1.4359814,1.0594006,-0.026373632,-0.5987725,0.36930856,0.32880706,0.69107336,1.0685622,-0.07935111,0.40393203,1.2138643,0.78557086,-0.8976752,-0.07464826,0.8666431,-0.7239492,-0.34039956,0.050132625,0.22890379,2.3314822,0.79498434,0.31205368,-0.57622504,0.44399744,0.15776335,-0.44882664,-2.017072,-2.0957153,0.7358331,0.47967786,-0.10566435,0.6552889,0.55571973,-0.6410319,-1.0984595,-0.38317952,-0.5750753,0.026348064,-0.1302433,-1.4282074,-0.231288,-0.10637492,0.44585055,0.40297973,-0.6208699,1.072488,-0.49539065,-0.11058544,-0.29644725,-0.59476644
SRR14506861,0.11032699,-0.76985365,0.7593196,-0.8305762,-1.260334,1.2730014,0.7264781,0.20833114,0.5746939,0.6945484,-1.2673651,-0.6963758,-1.2169763,-1.159466,-0.8679832,-1.0407805,0.4120022,-0.8061603,0.3760614,-1.2604082,-0.06014619,0.25493225,0.02114958,0.64855444,-0.12835954,0.39077234,0.8125923,0.47519296,0.15363404,0.6124156,0.8841286,1.1242186,0.5261804,0.42976582,0.8262312,-0.24918693,0.5142227,-0.19492292,-0.07746279,-0.07653815,-0.48537835,-0.16991775,0.06542911,0.13595076,-0.33767715,-0.23538458,-0.32123744,0.084548555,-0.6057307,-0.55516046,-0.36893088,-0.08685125
SRR14506862,0.5327513,0.8972611,0.6941094,-0.08102305,-0.77678967,1.126662,-0.09579434,-0.03167803,0.09907381,0.49515605,-0.7179524,0.106761895,0.83479697,-0.5405574,-0.25183633,-0.38180447,0.46972844,0.11122925,0.20873263,-0.15106727,-0.086489394,0.4574537,-0.38554028,-0.07029698,0.022620128,-0.6271717,-0.33386233,0.5549714,0.5485474,0.7797788,0.3447949,0.43191922,0.22874095,0.26064613,0.74232423,0.0014381894,0.4438371,-0.291389,-0.79486233,-0.15911573,0.054085534,-0.009908198,-0.6252677,-0.14885907,-1.4975327,-0.21858269,-0.37897962,-0.18088089,-0.44321197,0.0056889458,-0.32730424,0.80114007
SRR14506863,0.7608812,0.12461788,0.39916116,-0.032280255,0.6961571,0.19571687,0.25950077,0.12836811,0.3359232,0.7547039,-0.54202104,0.009920258,1.0316564,1.8237995,-0.08800971,-0.1736029,-0.0017917664,0.22961845,0.3406822,0.7765996,-0.018916018,0.74610394,-0.08036209,-0.12506448,0.22264215,0.7101418,-0.06189385,0.46337596,0.58373636,1.0377419,0.9994508,0.66827226,0.19018695,-0.4366011,0.13789608,-0.010445168,0.022773338,-0.14091232,-0.39213812,0.3478727,-1.0584008,0.6420034,1.0296692,-0.50944525,-0.048546836,-0.09932697,-0.5512129,-0.06923889,0.08444786,0.2670518,0.015402045,0.43364477
SRR14506864,0.96704423,0.32447132,0.25884494,0.21688813,1.4363929,0.99675775,0.99307936,-0.32474425,1.1191676,0.6231056,-0.5675239,0.64459276,-0.4424149,-0.51303554,0.12207705,-0.099059634,0.43232557,0.36946046,-0.13259582,0.024142727,0.48428318,1.1817311,-0.022805749,0.3046415,0.31649953,-0.005651217,-0.887385,0.42776665,-0.07156956,0.7814291,1.2075409,1.7827327,-0.0055111074,0.35173446,0.75314486,0.38992614,0.38126233,-0.12830567,-0.58686733,0.011882834,0.9913155,0.1351762,0.3251239,0.5456428,-0.06440234,0.33672848,-0.16694331,-0.32633984,-0.9009787,-0.902867,-0.2620793,-0.77461934
SRR14506865,0.87256426,-1.4224113,0.73306715,-1.4802848,0.7015979,0.23708916,1.2743409,0.48743647,1.0864527,0.99872684,0.43085244,-1.3301817,1.1081729,1.4786941,-1.5430425,-1.5330198,0.61274165,0.3755229,1.1469669,0.6327799,0.0072260415,1.4883509,0.6404317,0.40409905,0.94290733,1.0941864,0.31867975,0.26132277,0.25190178,-1.2656376,1.0082623,-0.4146541,-0.0033678066,-0.08191365,0.139363,0.6541359,0.10505769,0.3204149,0.2533747,1.2747219,-0.6240954,0.3985163,1.376429,-0.04295471,0.12239123,0.122272104,-0.35642603,0.33213773,0.13429296,0.26532984,0.040624715,-0.3802972
SRR14506866,0.81383955,1.14517,2.8728323,1.2840486,0.602768,-0.060045842,0.38271385,0.6790688,0.49916208,0.22444686,0.09034773,0.52959156,0.12657034,0.14969257,1.7208873,0.71470684,-0.057052348,1.6894462,1.4962925,0.11418305,0.09795631,2.6127446,2.1129806,-0.05936453,-0.49971104,-0.31590867,0.8673219,-1.4442936,-1.2841508,-0.7710939,0.16079813,0.019783651,0.08601509,-1.1182958,-0.6350759,-1.1182325,-0.42577347,-0.37235746,-1.0733484,-1.3377922,0.71801054,-0.7588315,0.06293391,1.3122082,0.056046784,-1.9280094,-1.3373947,-0.99340445,0.1203372,-2.0308483,-0.3556882,-0.41195807
SRR14506867,-1.0759499,-0.9073624,0.81646764,-0.9868721,1.5909754,-0.002288216,-1.2091352,-0.022067651,0.06690254,1.1170042,-1.292352,-0.93084234,1.0816851,1.1876886,-0.95476085,-1.0382391,0.33035567,0.030546783,0.56370324,-1.3288944,0.28273973,1.3687818,0.21424039,-0.04828489,0.31398183,0.052916948,1.2781262,0.3232589,0.1412597,1.2860357,0.8771767,1.6950676,-1.1775227,-0.26342788,0.22640026,0.13340613,0.36893913,-0.45426285,-0.06841129,0.60461944,0.22482668,0.5806149,-0.21842968,-0.32525235,-0.12288112,0.3078242,-0.4875062,-0.56819177,-0.50666475,-0.28179193,-0.21332161,-0.37374395
SRR14506868,1.5051923,0.9858536,0.53585416,-1.9486966,0.68380773,0.57105476,1.4695144,2.168663,-2.138972,0.75589055,0.8062678,-1.912545,-2.170678,1.379893,-1.9785075,-2.0008755,0.92173773,-0.095257476,0.14318135,0.63822144,0.15506445,2.1806328,0.48839104,0.884398,-0.2626418,1.4879476,-0.8086084,0.542588,0.22983144,1.3829743,0.8608289,0.39978534,0.865067,-0.48278356,0.3276674,0.05194884,-0.1290184,0.06379476,-0.402746,0.23567398,-0.47062925,0.72242826,1.1561798,-0.51884073,-0.5274208,0.19342566,-1.1046078,-0.65198976,-0.45034236,0.12114981,-0.49465027,-0.79082084
SRR14506869,-0.70302594,-0.20246392,-1.09446,-0.1685594,-1.0363792,-1.175168,0.7686271,0.63056034,1.2797774,0.76971567,-1.0161446,0.105896086,0.30787307,0.72865784,-0.9247215,-0.5944852,-1.1309536,0.1706721,-0.9487282,-0.98493844,1.3523407,0.5021376,0.91076607,1.0181197,0.46061224,-0.6532693,-1.2747325,0.6419692,-0.056381647,0.34168747,0.10350651,-0.14670722,0.556862,1.0055907,0.76972944,0.060683504,-0.1792662,0.8280544,1.5177675,0.42980474,-0.5331872,-1.0821306,-0.45312667,-0.48475796,0.49049014,-0.18169068,0.08819874,0.41666037,-0.011139165,-0.29382,-0.62385243,0.26930788
